dbp12485415,gbmb8681
dbp3331487,gbmb7157
dbp3413479,gbmb8250
dbp15574839,gbmb22771
dbp19286249,gbmb25739
dbp1107877,gbmb9364
dbp20467890,gbmb22855
dbp23916503,gbmb6252
dbp11380820,gbmb2430
dbp1972259,gbmb8720
dbp11660654,gbmb22432
dbp11262281,gbmb23351
dbp2619764,gbmb5312
dbp28661103,gbmb29581
dbp2294325,gbmb4036
dbp10570578,gbmb25331
dbp22461726,gbmb25733
dbp15842171,gbmb2532
dbp1318410,gbmb14178
dbp10761575,gbmb9911
dbp24072625,gbmb25668
dbp12235476,gbmb20951
dbp1800683,gbmb3936
dbp18722763,gbmb9109
dbp15413176,gbmb21633
dbp26563972,gbmb8219
dbp6690962,gbmb8703
dbp5160400,gbmb6632
dbp2879430,gbmb3298
dbp25786589,gbmb29753
dbp497525,gbmb7120
dbp3637242,gbmb6732
dbp21394399,gbmb22239
dbp1033264,gbmb14058
dbp12360099,gbmb1700
dbp1747573,gbmb9343
dbp23048153,gbmb26801
dbp23105534,gbmb26620
dbp11462041,gbmb4738
dbp11010005,gbmb8476
dbp17055878,gbmb22888
dbp21692140,gbmb25424
dbp1526351,gbmb5115
dbp11495977,gbmb24609
dbp34139535,gbmb7469
dbp100062,gbmb2931
dbp3101963,gbmb3681
dbp12187248,gbmb21004
dbp17146998,gbmb20908
dbp23410265,gbmb4310
dbp14828134,gbmb21197
dbp16602895,gbmb2881
dbp21037665,gbmb25034
dbp644006,gbmb6567
dbp4670943,gbmb9095
dbp1268445,gbmb21821
dbp20367728,gbmb24309
dbp3090030,gbmb6233
dbp19173382,gbmb29251
dbp30861525,gbmb6295
dbp18553836,gbmb4368
dbp19570308,gbmb23985
dbp17447188,gbmb24122
dbp16015876,gbmb22129
dbp4745362,gbmb5888
dbp1925514,gbmb6428
dbp17601604,gbmb21140
dbp1578086,gbmb22862
dbp18268342,gbmb22720
dbp1445554,gbmb3864
dbp3956260,gbmb5981
dbp305596,gbmb3594
dbp1478604,gbmb22457
dbp2146414,gbmb6250
dbp22364201,gbmb5003
dbp4965254,gbmb5958
dbp10550623,gbmb13470
dbp4811106,gbmb9263
dbp21804414,gbmb24816
dbp1995538,gbmb3479
dbp1563401,gbmb24789
dbp1033500,gbmb14869
dbp1158380,gbmb14103
dbp19910324,gbmb27576
dbp1401674,gbmb1823
dbp8728499,gbmb9046
dbp1563589,gbmb8655
dbp20111312,gbmb25187
dbp3433852,gbmb3650
dbp6391579,gbmb7440
dbp706209,gbmb9441
dbp24068322,gbmb27896
dbp4728620,gbmb5869
dbp10509931,gbmb14324
dbp16605728,gbmb21636
dbp14124435,gbmb22282
dbp11815036,gbmb14295
dbp24232413,gbmb25637
dbp14356272,gbmb4589
dbp1521610,gbmb2308
dbp2848636,gbmb4551
dbp16724764,gbmb7870
dbp12171158,gbmb4031
dbp17764507,gbmb8515
dbp15056071,gbmb24801
dbp17883949,gbmb20746
dbp14891364,gbmb26439
dbp2619358,gbmb5063
dbp5090608,gbmb7060
dbp2652402,gbmb3371
dbp12279233,gbmb3980
dbp2890862,gbmb3317
dbp1645778,gbmb7638
dbp13116957,gbmb26867
dbp10384511,gbmb13453
dbp11239006,gbmb21383
dbp3002581,gbmb9987
dbp22818053,gbmb7086
dbp24143415,gbmb24244
dbp2370631,gbmb7813
dbp12112205,gbmb14855
dbp2080734,gbmb2951
dbp11010005,gbmb3650
dbp15943736,gbmb20781
dbp491663,gbmb7711
dbp16756941,gbmb22340
dbp5230600,gbmb9922
dbp17786658,gbmb24384
dbp4990759,gbmb9146
dbp26914581,gbmb27698
dbp440994,gbmb8284
dbp17014402,gbmb22888
dbp18454982,gbmb21109
dbp18429535,gbmb21509
dbp11630141,gbmb29369
dbp13336570,gbmb2549
dbp16720236,gbmb21025
dbp3247432,gbmb4389
dbp11603511,gbmb22176
dbp22034726,gbmb3364
dbp2176065,gbmb22069
dbp2373152,gbmb7804
dbp431299,gbmb6132
dbp1983042,gbmb7498
dbp4240760,gbmb5944
dbp22879602,gbmb26087
dbp12852326,gbmb16326
dbp2616509,gbmb9458
dbp2851826,gbmb3082
dbp11692758,gbmb27717
dbp2054324,gbmb5664
dbp22697824,gbmb27711
dbp10921077,gbmb11754
dbp1351932,gbmb7212
dbp11437209,gbmb20987
dbp23066512,gbmb26839
dbp19847362,gbmb21045
dbp1788428,gbmb7284
dbp29320204,gbmb6454
dbp7257960,gbmb9446
dbp10905564,gbmb9235
dbp1025819,gbmb26410
dbp15307575,gbmb22337
dbp17642793,gbmb22336
dbp15307575,gbmb22335
dbp11160128,gbmb21393
dbp15307575,gbmb22332
dbp1207920,gbmb16228
dbp2692076,gbmb6816
dbp20211577,gbmb21149
dbp4047143,gbmb6922
dbp1115443,gbmb3731
dbp13586373,gbmb2770
dbp22660442,gbmb27247
dbp17945862,gbmb21086
dbp11455272,gbmb14098
dbp1692043,gbmb2523
dbp1196931,gbmb3153
dbp6040384,gbmb6594
dbp15307575,gbmb22329
dbp1326466,gbmb1484
dbp23005253,gbmb26699
dbp15307575,gbmb22327
dbp15307575,gbmb22328
dbp1048232,gbmb9780
dbp24194826,gbmb8458
dbp13673554,gbmb8632
dbp2422910,gbmb5431
dbp2908703,gbmb8142
dbp19369663,gbmb9476
dbp26187471,gbmb8312
dbp1742661,gbmb8894
dbp13361222,gbmb3346
dbp13351653,gbmb21447
dbp25280226,gbmb29336
dbp2916621,gbmb9966
dbp22977901,gbmb26549
dbp23531280,gbmb4859
dbp27548379,gbmb29238
dbp18165402,gbmb3707
dbp12298407,gbmb3146
dbp22709913,gbmb26014
dbp2140666,gbmb28536
dbp3596751,gbmb4921
dbp5284566,gbmb7087
dbp20026683,gbmb22024
dbp15364151,gbmb22546
dbp13331329,gbmb23173
dbp2605370,gbmb8438
dbp2140666,gbmb24198
dbp22150728,gbmb24102
dbp17713642,gbmb25725
dbp6136065,gbmb8209
dbp24196785,gbmb5343
dbp20084279,gbmb25215
dbp4640833,gbmb6405
dbp2043233,gbmb9281
dbp24728175,gbmb28474
dbp7167950,gbmb7385
dbp1119794,gbmb16009
dbp10788462,gbmb13447
dbp10244031,gbmb14865
dbp26163147,gbmb29895
dbp364952,gbmb5005
dbp3187538,gbmb3228
dbp2711305,gbmb9896
dbp18916752,gbmb23356
dbp19622236,gbmb24073
dbp1663525,gbmb21383
dbp10077676,gbmb14109
dbp36548872,gbmb3780
dbp1966504,gbmb5153
dbp2613737,gbmb2707
dbp2114077,gbmb5678
dbp16857265,gbmb20715
dbp1863248,gbmb7222
dbp23087358,gbmb29063
dbp633776,gbmb8121
dbp35196860,gbmb9792
dbp2668409,gbmb4979
dbp40760320,gbmb6194
dbp1981163,gbmb5659
dbp18407425,gbmb21544
dbp16632623,gbmb20952
dbp1948349,gbmb9338
dbp10176505,gbmb1819
dbp18148179,gbmb20832
dbp10451666,gbmb9980
dbp1159667,gbmb8878
dbp3154351,gbmb7262
dbp38835221,gbmb8564
dbp19241055,gbmb23791
dbp1025523,gbmb6358
dbp23067219,gbmb26835
dbp399409,gbmb7067
dbp19703155,gbmb22693
dbp15609885,gbmb21589
dbp355914,gbmb8292
dbp1171033,gbmb6390
dbp16734664,gbmb22343
dbp23487170,gbmb27177
dbp1048583,gbmb3563
dbp1469841,gbmb3087
dbp2487828,gbmb8806
dbp23816664,gbmb27236
dbp1220173,gbmb15341
dbp22118674,gbmb25651
dbp1049775,gbmb5129
dbp2613169,gbmb4050
dbp1073568,gbmb11793
dbp4039865,gbmb9631
dbp25415094,gbmb29445
dbp15774601,gbmb20957
dbp662987,gbmb7863
dbp1486980,gbmb5346
dbp147941,gbmb20974
dbp5018335,gbmb5927
dbp1118319,gbmb7701
dbp11191409,gbmb13568
dbp5673419,gbmb9285
dbp10851465,gbmb27995
dbp23267946,gbmb29703
dbp5354097,gbmb7811
dbp106289,gbmb21595
dbp3465468,gbmb5542
dbp4942176,gbmb9185
dbp11219773,gbmb3180
dbp5606657,gbmb6097
dbp10400226,gbmb14278
dbp1332880,gbmb16620
dbp3758981,gbmb9981
dbp1387025,gbmb1961
dbp12983160,gbmb24743
dbp16180150,gbmb5762
dbp3469160,gbmb9297
dbp2606382,gbmb5113
dbp18930434,gbmb23461
dbp1305298,gbmb15952
dbp18433240,gbmb6235
dbp27304697,gbmb28192
dbp408407,gbmb8870
dbp6007454,gbmb8304
dbp1239060,gbmb8728
dbp1110158,gbmb15647
dbp23047813,gbmb26786
dbp1592884,gbmb3857
dbp2827238,gbmb4583
dbp1750123,gbmb23866
dbp2146430,gbmb8100
dbp2379425,gbmb7664
dbp2275286,gbmb5101
dbp14421816,gbmb26754
dbp24417659,gbmb4085
dbp10228508,gbmb7669
dbp3084764,gbmb3779
dbp15364151,gbmb20876
dbp20457035,gbmb22207
dbp2930922,gbmb3776
dbp2173736,gbmb5113
dbp22465524,gbmb24330
dbp3064467,gbmb8098
dbp16234901,gbmb29010
dbp4382925,gbmb7914
dbp2368926,gbmb9596
dbp2526129,gbmb6301
dbp18338283,gbmb26501
dbp19082227,gbmb23757
dbp1564842,gbmb9690
dbp10490112,gbmb23536
dbp18359592,gbmb20996
dbp22836033,gbmb5826
dbp25533143,gbmb29073
dbp5599513,gbmb6499
dbp4044257,gbmb8018
dbp22304522,gbmb25090
dbp18461881,gbmb5994
dbp12417693,gbmb21328
dbp4398267,gbmb5402
dbp23456149,gbmb27272
dbp1645437,gbmb16716
dbp18136358,gbmb22912
dbp2606382,gbmb3384
dbp11054847,gbmb12049
dbp29819312,gbmb4973
dbp2145318,gbmb8306
dbp12554174,gbmb6885
dbp11965708,gbmb1309
dbp7125351,gbmb8476
dbp2224597,gbmb5639
dbp1150156,gbmb7429
dbp16724981,gbmb20905
dbp24861894,gbmb26616
dbp12600412,gbmb21062
dbp27686808,gbmb9537
dbp2342260,gbmb26157
dbp11907702,gbmb14465
dbp2008127,gbmb21192
dbp3875251,gbmb5372
dbp455799,gbmb8759
dbp2081640,gbmb9259
dbp2342507,gbmb25678
dbp14700190,gbmb25452
dbp3738566,gbmb5658
dbp34609223,gbmb6102
dbp1256944,gbmb5507
dbp6747536,gbmb9268
dbp11202008,gbmb3818
dbp1353242,gbmb16074
dbp13793751,gbmb16634
dbp27722348,gbmb3166
dbp38769353,gbmb9291
dbp1784922,gbmb5625
dbp19014712,gbmb28444
dbp2106669,gbmb9463
dbp18711188,gbmb24768
dbp2350776,gbmb9362
dbp18418375,gbmb21513
dbp10803962,gbmb11507
dbp13175909,gbmb22742
dbp2438588,gbmb3687
dbp2270972,gbmb7574
dbp1491289,gbmb9442
dbp4640881,gbmb5413
dbp651944,gbmb7540
dbp3671579,gbmb7033
dbp193113,gbmb7851
dbp21227347,gbmb25127
dbp2173741,gbmb3384
dbp17547441,gbmb24457
dbp18597967,gbmb21761
dbp2277217,gbmb6278
dbp6025230,gbmb7706
dbp19720709,gbmb26028
dbp21239341,gbmb23907
dbp9378946,gbmb9936
dbp17008715,gbmb21240
dbp2173736,gbmb3384
dbp22923539,gbmb26565
dbp1666311,gbmb23583
dbp198433,gbmb3166
dbp13201620,gbmb9685
dbp1143910,gbmb8099
dbp12783559,gbmb21548
dbp30865720,gbmb3353
dbp17588477,gbmb22936
dbp1099463,gbmb15172
dbp224662,gbmb9847
dbp27457377,gbmb29172
dbp6597364,gbmb9684
dbp1132660,gbmb2464
dbp2173741,gbmb5113
dbp1301119,gbmb5122
dbp3126114,gbmb3323
dbp21401884,gbmb25251
dbp4652348,gbmb4920
dbp1166897,gbmb6965
dbp23828092,gbmb24700
dbp23967483,gbmb27823
dbp1569860,gbmb4798
dbp24109872,gbmb27257
dbp24587072,gbmb28906
dbp2345288,gbmb27438
dbp1981052,gbmb3988
dbp16860755,gbmb20854
dbp23219079,gbmb6353
dbp22609071,gbmb27141
dbp1194882,gbmb8244
dbp1932355,gbmb21797
dbp20208007,gbmb26918
dbp11738239,gbmb1551
dbp16368150,gbmb26429
dbp24459803,gbmb28329
dbp1788968,gbmb5875
dbp18977680,gbmb23081
dbp2571284,gbmb8093
dbp26944048,gbmb6889
dbp2147814,gbmb3751
dbp14945140,gbmb28058
dbp13023150,gbmb23498
dbp4307554,gbmb6695
dbp2330484,gbmb8369
dbp10147876,gbmb1143
dbp24537494,gbmb27865
dbp12322695,gbmb2265
dbp10111390,gbmb21223
dbp3109529,gbmb7683
dbp23290915,gbmb27180
dbp5848106,gbmb9542
dbp18985454,gbmb5985
dbp29924238,gbmb3023
dbp15088766,gbmb3213
dbp10270173,gbmb13714
dbp1563159,gbmb21421
dbp1215692,gbmb9233
dbp39423149,gbmb5923
dbp10248825,gbmb1482
dbp20314947,gbmb22250
dbp6875312,gbmb8011
dbp52764,gbmb9971
dbp1092405,gbmb3165
dbp5976926,gbmb9123
dbp11201320,gbmb4153
dbp23879638,gbmb7698
dbp19631008,gbmb24017
dbp21321529,gbmb25028
dbp20984425,gbmb25755
dbp22547675,gbmb25536
dbp1728996,gbmb27668
dbp13664649,gbmb24220
dbp12298602,gbmb23787
dbp2128404,gbmb9351
dbp2880210,gbmb7757
dbp5571468,gbmb6483
dbp1088639,gbmb14255
dbp23311553,gbmb25042
dbp938832,gbmb9418
dbp1655773,gbmb9450
dbp24178245,gbmb24597
dbp16929109,gbmb21283
dbp22019278,gbmb23881
dbp15820430,gbmb23307
dbp1788981,gbmb8383
dbp25907924,gbmb29981
dbp207125,gbmb8028
dbp17814523,gbmb6686
dbp12089920,gbmb20744
dbp20217224,gbmb24458
dbp12089920,gbmb20745
dbp17019642,gbmb20896
dbp19409134,gbmb7688
dbp2489037,gbmb2568
dbp22357213,gbmb23648
dbp22681791,gbmb26702
dbp1859486,gbmb21554
dbp6451602,gbmb7620
dbp21838352,gbmb24024
dbp20367369,gbmb21709
dbp3868589,gbmb6453
dbp39650063,gbmb9017
dbp28983699,gbmb8851
dbp1025498,gbmb15353
dbp2173746,gbmb7995
dbp13201483,gbmb23429
dbp1652296,gbmb5764
dbp3061321,gbmb5647
dbp1112669,gbmb6339
dbp13703511,gbmb21645
dbp12240653,gbmb8892
dbp1711082,gbmb5111
dbp25058194,gbmb25437
dbp584465,gbmb5930
dbp11326758,gbmb9084
dbp3600964,gbmb9963
dbp18860345,gbmb23396
dbp17453989,gbmb29420
dbp4217018,gbmb6976
dbp4609500,gbmb8977
dbp26488378,gbmb27919
dbp14925033,gbmb8469
dbp2530086,gbmb3209
dbp376475,gbmb9124
dbp18516122,gbmb22460
dbp24281367,gbmb28078
dbp1301292,gbmb9157
dbp20097297,gbmb24066
dbp6976539,gbmb9429
dbp17392118,gbmb21408
dbp1443960,gbmb4493
dbp34337639,gbmb7974
dbp27470350,gbmb29715
dbp1440039,gbmb15553
dbp14249968,gbmb6057
dbp12089920,gbmb1653
dbp1678937,gbmb3208
dbp4132856,gbmb7485
dbp6828180,gbmb9636
dbp11150982,gbmb6282
dbp464251,gbmb7274
dbp21776066,gbmb4795
dbp613346,gbmb9594
dbp11901320,gbmb29414
dbp2409630,gbmb3769
dbp3083735,gbmb4637
dbp17771420,gbmb28623
dbp11338444,gbmb16877
dbp24428469,gbmb7269
dbp19837798,gbmb25878
dbp2040867,gbmb25863
dbp20665626,gbmb24862
dbp15364151,gbmb24440
dbp10873733,gbmb20739
dbp162176,gbmb22309
dbp1790379,gbmb6936
dbp11135085,gbmb22369
dbp29797329,gbmb9114
dbp34487,gbmb4938
dbp1120962,gbmb9497
dbp2635152,gbmb7447
dbp20525639,gbmb21702
dbp10619449,gbmb22604
dbp1708582,gbmb7652
dbp4463718,gbmb9953
dbp18447843,gbmb21098
dbp24792759,gbmb9167
dbp4292666,gbmb6715
dbp12592182,gbmb9536
dbp12180470,gbmb16347
dbp1667025,gbmb2319
dbp1974447,gbmb7740
dbp10087823,gbmb14423
dbp19466061,gbmb23022
dbp24661104,gbmb25121
dbp1183212,gbmb16604
dbp23150608,gbmb27206
dbp29647198,gbmb9540
dbp1892649,gbmb21625
dbp13065933,gbmb28082
dbp18542848,gbmb23815
dbp25771130,gbmb29745
dbp14446200,gbmb2404
dbp1915446,gbmb8117
dbp10049144,gbmb7329
dbp14524716,gbmb8829
dbp1088412,gbmb5625
dbp12818028,gbmb4431
dbp13136271,gbmb2762
dbp23941310,gbmb26593
dbp5300616,gbmb7743
dbp13644438,gbmb3504
dbp2946647,gbmb3482
dbp1594795,gbmb2573
dbp18125735,gbmb22252
dbp13580563,gbmb20949
dbp25161465,gbmb29420
dbp14945290,gbmb24003
dbp22216226,gbmb25767
dbp11114988,gbmb21202
dbp14349797,gbmb26381
dbp4660100,gbmb8423
dbp18655200,gbmb21350
dbp21923549,gbmb25558
dbp12109912,gbmb15634
dbp18454852,gbmb23685
dbp5673889,gbmb9427
dbp5405950,gbmb6503
dbp2257319,gbmb3802
dbp12542895,gbmb13308
dbp2479102,gbmb8148
dbp1327973,gbmb4866
dbp1159579,gbmb6990
dbp2114841,gbmb22224
dbp3512257,gbmb7844
dbp147416,gbmb4522
dbp4838550,gbmb9143
dbp27612329,gbmb29247
dbp7900679,gbmb7938
dbp8219858,gbmb9496
dbp2242501,gbmb3476
dbp25696562,gbmb27859
dbp23871551,gbmb9415
dbp1623147,gbmb8006
dbp489000,gbmb8556
dbp4095672,gbmb8109
dbp2222050,gbmb9826
dbp1018155,gbmb15057
dbp10065862,gbmb26950
dbp1466637,gbmb6406
dbp17291373,gbmb8255
dbp2040304,gbmb8025
dbp1894093,gbmb6590
dbp15149812,gbmb24746
dbp2296045,gbmb2442
dbp2917810,gbmb3898
dbp18457155,gbmb21144
dbp18775379,gbmb23514
dbp21432434,gbmb2917
dbp21853205,gbmb6797
dbp1278478,gbmb2260
dbp17250119,gbmb22010
dbp15832772,gbmb23676
dbp1778986,gbmb8414
dbp18364022,gbmb25947
dbp19883547,gbmb4828
dbp25380552,gbmb9631
dbp15146869,gbmb7434
dbp1934406,gbmb2278
dbp19673387,gbmb24030
dbp23149600,gbmb25721
dbp20198488,gbmb20777
dbp16952529,gbmb2029
dbp10249375,gbmb25361
dbp24180897,gbmb3083
dbp4011951,gbmb4673
dbp14936592,gbmb21285
dbp22123430,gbmb24307
dbp30646081,gbmb4413
dbp1615836,gbmb1859
dbp15447300,gbmb2203
dbp10322,gbmb10796
dbp15307574,gbmb22332
dbp18935803,gbmb23529
dbp15307574,gbmb22335
dbp15307574,gbmb22337
dbp2409198,gbmb4612
dbp2440860,gbmb9355
dbp11380820,gbmb27734
dbp15018614,gbmb24358
dbp14090866,gbmb24416
dbp3629093,gbmb8971
dbp36620634,gbmb8940
dbp153399,gbmb15738
dbp21784198,gbmb25614
dbp25422198,gbmb29441
dbp15307574,gbmb22329
dbp15307574,gbmb22328
dbp20641295,gbmb25143
dbp1861796,gbmb9491
dbp15307574,gbmb22327
dbp3442913,gbmb4530
dbp2318758,gbmb6735
dbp27952391,gbmb7162
dbp4463626,gbmb5040
dbp723646,gbmb8671
dbp23553425,gbmb24864
dbp12090224,gbmb21876
dbp11802273,gbmb4544
dbp2876310,gbmb4104
dbp232766,gbmb7570
dbp15321517,gbmb21746
dbp18366471,gbmb21113
dbp18980990,gbmb24250
dbp8009062,gbmb8017
dbp17454235,gbmb22411
dbp1859402,gbmb21380
dbp12015310,gbmb22354
dbp2903539,gbmb6394
dbp14248025,gbmb3516
dbp25179319,gbmb6389
dbp3996861,gbmb7350
dbp13082035,gbmb22226
dbp7413990,gbmb8698
dbp17573952,gbmb22006
dbp18736289,gbmb23346
dbp21133958,gbmb3075
dbp22717208,gbmb26556
dbp3419696,gbmb8794
dbp14967386,gbmb5358
dbp15963012,gbmb20960
dbp14144497,gbmb25436
dbp23066137,gbmb26833
dbp25068916,gbmb29809
dbp2201266,gbmb5113
dbp3493972,gbmb8696
dbp18352875,gbmb21723
dbp20712785,gbmb8828
dbp1025819,gbmb12558
dbp18696364,gbmb25238
dbp1949191,gbmb22459
dbp4791520,gbmb7766
dbp27486424,gbmb28357
dbp10055555,gbmb9345
dbp14013625,gbmb7302
dbp1563648,gbmb4962
dbp1055898,gbmb15941
dbp10476987,gbmb4750
dbp6074842,gbmb6584
dbp4387081,gbmb8362
dbp18023404,gbmb7979
dbp19861398,gbmb24202
dbp20482536,gbmb21586
dbp12724440,gbmb7152
dbp11239006,gbmb5721
dbp2342960,gbmb5336
dbp2531867,gbmb5080
