dbp170531,gdb8789
dbp29667489,gdb6712
dbp7890242,gdb9423
dbp2300721,gdb29
dbp11969411,gdb3123
dbp2039991,gdb5111
dbp1584906,gdb405
dbp28586827,gdb8332
dbp154550,gdb404
dbp10764552,gdb14920
dbp3582565,gdb4188
dbp4483900,gdb7812
dbp29240396,gdb8450
dbp2548874,gdb5425
dbp1225260,gdb23508
dbp2957671,gdb3897
dbp2093037,gdb3583
dbp27408002,gdb7177
dbp14314296,gdb15
dbp6003023,gdb7779
dbp12788466,gdb22020
dbp26903628,gdb909
dbp28133309,gdb9055
dbp12563163,gdb5466
dbp1697150,gdb2668
dbp33969653,gdb5811
dbp5097028,gdb6797
dbp11024036,gdb843
dbp3652716,gdb9179
dbp19444898,gdb4472
dbp18007088,gdb20145
dbp3691600,gdb6888
dbp2125186,gdb7049
dbp5571445,gdb9766
dbp5405950,gdb9794
dbp2580958,gdb3504
dbp1671126,gdb6254
dbp18684953,gdb5119
dbp5083878,gdb7478
dbp3278981,gdb9730
dbp4110111,gdb8941
dbp1419923,gdb621
dbp24304560,gdb8473
dbp1165583,gdb14722
dbp12213717,gdb7261
dbp23928245,gdb2982
dbp15321529,gdb6037
dbp22353739,gdb5448
dbp1562965,gdb20710
dbp1093029,gdb14691
dbp467624,gdb800
dbp52757,gdb9449
dbp3888200,gdb4633
dbp26579788,gdb5540
dbp3260080,gdb5056
dbp26624942,gdb9990
dbp2040013,gdb5060
dbp15902874,gdb6299
dbp2175381,gdb7362
dbp8910150,gdb9265
dbp12221586,gdb4111
dbp153432,gdb167
dbp1426555,gdb3571
dbp2590398,gdb9863
dbp31820954,gdb3637
dbp841218,gdb9984
dbp1196933,gdb13997
dbp4354969,gdb8475
dbp3821602,gdb6635
dbp13053442,gdb16435
dbp20455309,gdb23171
dbp11610617,gdb14665
dbp6122067,gdb7245
dbp6064065,gdb7680
dbp14246618,gdb2074
dbp1522499,gdb7055
dbp3875251,gdb7258
dbp13616361,gdb18740
dbp462914,gdb7775
dbp23588553,gdb7122
dbp5000263,gdb7726
dbp10027208,gdb3260
dbp1179614,gdb9262
dbp35968713,gdb9287
dbp19683560,gdb7676
dbp31944017,gdb8964
dbp20217224,gdb4418
dbp6502094,gdb6660
dbp16138367,gdb6482
dbp3630143,gdb6161
dbp15832772,gdb17646
dbp2309579,gdb9144
dbp2784525,gdb6959
dbp10807571,gdb10964
dbp5018335,gdb710
dbp24186640,gdb9792
dbp3569458,gdb5961
dbp12887061,gdb808
dbp5093087,gdb5357
dbp19289437,gdb3098
dbp4542785,gdb6727
dbp1495607,gdb750
dbp13059748,gdb17313
dbp14772300,gdb2005
dbp23713872,gdb809
dbp1912979,gdb360
dbp14700190,gdb17176
dbp22366161,gdb318
dbp32055477,gdb6360
dbp24774623,gdb6314
dbp5587199,gdb7404
dbp32048595,gdb8885
dbp355907,gdb6771
dbp21776066,gdb2215
dbp1870044,gdb19301
dbp17430053,gdb641
dbp2366949,gdb5788
dbp1523285,gdb9182
dbp467624,gdb799
dbp4902639,gdb5612
dbp2175391,gdb6925
dbp252922,gdb9529
dbp1040595,gdb22276
dbp1460180,gdb4639
dbp4790806,gdb6145
dbp4935781,gdb8370
dbp2270972,gdb8803
dbp12602657,gdb20372
dbp24306778,gdb8685
dbp1106384,gdb873
dbp10511660,gdb14815
dbp1699392,gdb521
dbp11092613,gdb22131
dbp440904,gdb733
dbp1892272,gdb940
dbp6390064,gdb9365
dbp19631008,gdb4427
dbp11380820,gdb23200
dbp2668409,gdb3695
dbp38776916,gdb944
dbp1623147,gdb8777
dbp4369173,gdb504
dbp3620708,gdb587
dbp4843795,gdb9761
dbp1750123,gdb4916
dbp1948349,gdb19879
dbp12511301,gdb20891
dbp11921294,gdb17321
dbp1548643,gdb7810
dbp449098,gdb7874
dbp3138991,gdb5892
dbp37669254,gdb9188
dbp1372372,gdb6160
dbp6205567,gdb6669
dbp24232413,gdb929
dbp2278371,gdb2672
dbp10761575,gdb6893
dbp28362175,gdb6935
dbp3491650,gdb7539
dbp5903104,gdb7919
dbp10476987,gdb8485
dbp2237042,gdb7324
dbp1312213,gdb3361
dbp2488039,gdb3578
dbp2081945,gdb3707
dbp4462266,gdb752
dbp1247167,gdb6735
dbp26016902,gdb5407
dbp4298473,gdb9632
dbp17366315,gdb2732
dbp5775199,gdb8218
dbp2107806,gdb6956
dbp24756408,gdb7395
dbp10110872,gdb614
dbp1032686,gdb6090
dbp11993809,gdb5558
dbp4720977,gdb5363
dbp32639090,gdb9151
dbp3382471,gdb9957
dbp10674799,gdb10725
dbp32035307,gdb7461
dbp25417692,gdb3340
dbp1923099,gdb6267
dbp1583955,gdb1774
dbp10175964,gdb20288
dbp1466637,gdb7819
dbp32448781,gdb9124
dbp13919712,gdb2000
dbp20116156,gdb2564
dbp13374608,gdb20173
dbp10947814,gdb20134
dbp654620,gdb8317
dbp1711714,gdb2353
dbp5238000,gdb8545
dbp147416,gdb3149
dbp14925033,gdb7042
dbp2667046,gdb6413
dbp2331674,gdb644
dbp17354569,gdb18856
dbp3193622,gdb566
dbp13229650,gdb20625
dbp15109529,gdb15948
dbp20423697,gdb3426
dbp4376380,gdb88
dbp2277216,gdb3168
dbp5001937,gdb6884
dbp5848106,gdb7970
dbp4595672,gdb7906
dbp3837587,gdb9640
dbp1426589,gdb3444
dbp327234,gdb7292
dbp7906921,gdb8588
dbp27859055,gdb4828
dbp3303027,gdb8917
dbp1553787,gdb1557
dbp11745896,gdb812
dbp28194573,gdb5322
dbp16361229,gdb187
dbp27715264,gdb9459
dbp1401674,gdb3673
dbp4416321,gdb54
dbp4044257,gdb5999
dbp4855831,gdb9811
dbp10248599,gdb2169
dbp3095688,gdb6788
dbp23682810,gdb7901
dbp1859402,gdb859
dbp4758473,gdb9786
dbp32409010,gdb5539
dbp1909510,gdb4415
dbp11149143,gdb5500
dbp2205472,gdb3320
dbp2964854,gdb3242
dbp21468511,gdb7792
dbp1239946,gdb7793
dbp21970352,gdb2260
dbp18450311,gdb2092
dbp29473779,gdb8848
dbp33975977,gdb503
dbp24030480,gdb2722
dbp1170262,gdb20872
dbp5222025,gdb8602
dbp11842298,gdb20505
dbp1838125,gdb6859
dbp1080428,gdb8313
dbp1523330,gdb21608
dbp22861694,gdb835
dbp5619694,gdb9359
dbp3962778,gdb913
dbp6492923,gdb660
dbp5765784,gdb7909
dbp17670706,gdb8599
dbp2663694,gdb5561
dbp2177853,gdb355
dbp1698621,gdb17800
dbp12719668,gdb5662
dbp11500785,gdb9040
dbp22331142,gdb5038
dbp1713059,gdb3901
dbp1788885,gdb3648
dbp177476,gdb8921
dbp2928895,gdb5358
dbp14077675,gdb14849
dbp1178237,gdb5292
dbp21324574,gdb3909
dbp15448262,gdb5872
dbp1545317,gdb19952
dbp16401301,gdb20818
dbp1420901,gdb555
dbp24778244,gdb6273
dbp1018365,gdb4915
dbp1974447,gdb7006
dbp1974447,gdb7005
dbp2082439,gdb2108
dbp19631794,gdb9911
dbp6094515,gdb724
dbp17788656,gdb309
dbp1466378,gdb21807
dbp18588211,gdb5043
dbp20297478,gdb852
dbp219731,gdb6700
dbp23060942,gdb3927
dbp5141000,gdb7596
dbp24040808,gdb6937
dbp19241055,gdb9619
dbp12388673,gdb16033
dbp1159780,gdb4182
dbp1472754,gdb3172
dbp12279233,gdb13190
dbp4960598,gdb7602
dbp21088195,gdb836
dbp21476639,gdb5356
dbp3105842,gdb9836
dbp25771130,gdb5504
dbp549717,gdb5949
dbp24251120,gdb8444
dbp1053652,gdb12531
dbp10676873,gdb19049
dbp34549122,gdb8766
dbp40868156,gdb8841
dbp15411301,gdb6713
dbp16759067,gdb6823
dbp1247019,gdb35
dbp13381784,gdb14
dbp12874310,gdb932
dbp22331677,gdb7798
dbp17817893,gdb5104
dbp1863248,gdb8555
dbp1898799,gdb7924
dbp19132957,gdb9892
dbp1898461,gdb20268
dbp2043233,gdb22740
dbp4279129,gdb9627
dbp2990211,gdb4654
dbp27899153,gdb4417
dbp19993138,gdb8718
dbp2342260,gdb323
dbp10316251,gdb12642
dbp1225093,gdb13901
dbp26337508,gdb8335
dbp1569860,gdb6553
dbp1610197,gdb5434
dbp1047218,gdb2856
dbp18185334,gdb2571
dbp1695933,gdb20769
dbp2030312,gdb23495
dbp1307965,gdb4115
dbp587808,gdb6262
dbp2848183,gdb5851
dbp12374528,gdb96
dbp1261663,gdb1969
dbp17015873,gdb20409
dbp11832504,gdb16933
dbp10369797,gdb23491
dbp38776916,gdb7798
dbp1568390,gdb1867
dbp2994995,gdb5834
dbp18408327,gdb23584
dbp12015310,gdb9192
dbp1640471,gdb17216
dbp12506618,gdb20437
dbp2601167,gdb4396
dbp1125657,gdb4790
dbp10550623,gdb8615
dbp1936981,gdb5307
dbp34005522,gdb8469
dbp2081950,gdb3708
dbp12902125,gdb3118
dbp399418,gdb6691
dbp2275061,gdb23496
dbp20198488,gdb646
dbp1167769,gdb14098
dbp1928982,gdb5211
dbp2892481,gdb7278
dbp1051629,gdb2052
dbp11561558,gdb15050
dbp18164620,gdb21157
dbp10659094,gdb16375
dbp1114802,gdb6566
dbp22105553,gdb8948
dbp30949252,gdb9742
dbp5720051,gdb8116
dbp1800277,gdb428
dbp38346368,gdb4608
dbp12263193,gdb1798
dbp26338052,gdb6613
dbp4931898,gdb7675
dbp1049037,gdb2324
dbp4217018,gdb8668
dbp1565863,gdb5690
dbp1335697,gdb6982
dbp10137054,gdb21053
dbp4374678,gdb8719
dbp1861170,gdb19851
dbp23047813,gdb638
dbp22039016,gdb6696
dbp1091197,gdb7999
dbp2757151,gdb7214
dbp25405482,gdb9024
dbp2377571,gdb4049
dbp13353016,gdb6640
dbp1446787,gdb3939
dbp310108,gdb4511
dbp11376465,gdb4839
dbp1151672,gdb34
dbp4652824,gdb4766
dbp2148631,gdb22665
dbp14380634,gdb4007
dbp1973761,gdb7352
dbp1065654,gdb351
dbp6025237,gdb9420
dbp1213864,gdb128
dbp18462375,gdb842
dbp26561817,gdb7827
dbp3581521,gdb9644
dbp834307,gdb971
dbp2974004,gdb7968
dbp16048692,gdb5624
dbp1903351,gdb233
dbp2095839,gdb3976
dbp767697,gdb9344
dbp5826876,gdb6338
dbp1201462,gdb14449
dbp3619410,gdb9791
dbp1144991,gdb4711
dbp1587371,gdb3285
dbp2039583,gdb5100
dbp3478886,gdb9330
dbp1517455,gdb3826
dbp5571442,gdb8780
dbp1697127,gdb276
dbp3599265,gdb715
dbp6515845,gdb8357
dbp23047483,gdb855
dbp3154351,gdb3711
dbp1302281,gdb7358
dbp2357870,gdb445
dbp5684296,gdb7017
dbp3862687,gdb4843
dbp14181011,gdb17903
dbp497525,gdb790
dbp1486980,gdb6655
dbp3207293,gdb6437
dbp6787239,gdb7008
dbp2843056,gdb7276
dbp11976448,gdb6589
dbp31919748,gdb7711
dbp5111831,gdb7604
dbp1508961,gdb23329
dbp1215692,gdb1315
dbp28344576,gdb936
dbp2293827,gdb9685
dbp18518104,gdb5683
dbp10927185,gdb4420
dbp11150982,gdb17231
dbp5097322,gdb9113
dbp12686478,gdb17286
dbp2211125,gdb5488
dbp19695722,gdb8399
dbp2355418,gdb9339
dbp28226416,gdb3046
dbp2309424,gdb5553
dbp2175376,gdb8774
dbp102493,gdb691
dbp17485906,gdb8531
dbp31287167,gdb3949
dbp4542854,gdb6487
dbp21928561,gdb3905
dbp13393786,gdb14395
dbp1191771,gdb3960
dbp2232501,gdb5989
dbp14090866,gdb15581
dbp18895338,gdb20153
dbp15284869,gdb18008
dbp25992413,gdb9397
dbp10721721,gdb18790
dbp22156553,gdb4739
dbp22156553,gdb4738
dbp27351622,gdb934
dbp28398762,gdb938
dbp12212004,gdb16876
dbp67461,gdb805
dbp1368365,gdb679
dbp1493786,gdb6453
dbp1594795,gdb20095
dbp22988883,gdb2480
dbp15634160,gdb19395
dbp3793127,gdb9350
dbp5861860,gdb6922
dbp5124535,gdb9688
dbp25696562,gdb8359
dbp18949978,gdb234
dbp6866397,gdb9896
dbp32518355,gdb8314
dbp24959625,gdb6758
dbp431668,gdb8640
dbp24672005,gdb8443
dbp16288423,gdb22193
dbp16111059,gdb2573
dbp20269926,gdb5700
dbp2314516,gdb8135
dbp22107086,gdb9960
dbp1675013,gdb4158
dbp13744137,gdb16212
dbp29181609,gdb563
dbp1892649,gdb6173
dbp17727160,gdb20956
dbp13744137,gdb16215
dbp1207920,gdb2212
dbp4520291,gdb7957
dbp11438979,gdb19336
dbp10946845,gdb7780
dbp18459313,gdb817
dbp18169786,gdb838
dbp33430,gdb4228
dbp2472055,gdb4450
dbp11028525,gdb16546
dbp33251782,gdb8419
dbp5781007,gdb755
dbp2307030,gdb7304
dbp14731020,gdb67
dbp2146690,gdb9314
dbp3179470,gdb7353
dbp3539888,gdb3994
dbp1083993,gdb5903
dbp20808145,gdb23514
dbp2249821,gdb380
dbp3300318,gdb75
dbp1594795,gdb3919
dbp15601820,gdb3315
dbp1661570,gdb416
dbp3271086,gdb3360
dbp14098106,gdb14607
dbp6160986,gdb8040
dbp18216663,gdb1827
dbp1988636,gdb7334
dbp1882465,gdb39
dbp1853857,gdb1929
dbp16580374,gdb2379
dbp15561370,gdb21652
dbp11250920,gdb14009
dbp14123597,gdb2889
dbp2054324,gdb6152
dbp1194882,gdb14380
dbp1941001,gdb4262
dbp12783943,gdb4966
dbp2093486,gdb3946
dbp1551424,gdb6264
dbp1371136,gdb2081
dbp5600066,gdb9498
dbp11502493,gdb4400
dbp22136208,gdb3606
dbp3470071,gdb5451
dbp33952595,gdb4324
dbp1873131,gdb9903
dbp30648190,gdb8254
dbp37669254,gdb4408
dbp1102819,gdb8152
dbp3636139,gdb4821
dbp22780867,gdb8436
dbp3459213,gdb9927
dbp19324221,gdb4449
dbp1017834,gdb21880
dbp32193,gdb3971
dbp3977538,gdb5885
dbp16482817,gdb22189
dbp1194874,gdb4212
dbp16372283,gdb6758
dbp1872396,gdb23441
dbp11360532,gdb21220
dbp625876,gdb7836
dbp11184232,gdb15489
dbp10509686,gdb3636
dbp632022,gdb776
dbp1601960,gdb3855
dbp344197,gdb778
dbp2277217,gdb3169
dbp32014231,gdb7619
dbp12366884,gdb4743
dbp1934846,gdb7406
dbp22699588,gdb2439
dbp5058748,gdb9656
dbp381964,gdb6260
dbp20537000,gdb2624
dbp1425533,gdb19273
dbp2747477,gdb4422
dbp2826892,gdb7202
dbp17356662,gdb17399
dbp32095837,gdb9454
dbp24808141,gdb8208
dbp14833919,gdb17864
dbp2163254,gdb21873
dbp17866901,gdb20521
dbp2385008,gdb7268
dbp15466868,gdb822
dbp10594936,gdb14903
dbp1801485,gdb5236
dbp2395300,gdb7009
dbp2005144,gdb21725
dbp1564810,gdb1813
dbp442508,gdb8799
dbp11437752,gdb1601
dbp52816,gdb647
dbp1502369,gdb8710
dbp21953808,gdb4408
dbp3011064,gdb9774
dbp1373441,gdb14533
dbp2890862,gdb5897
dbp622285,gdb6778
dbp23912001,gdb4987
dbp5313500,gdb7359
dbp2321930,gdb4863
dbp2798084,gdb7215
dbp11940803,gdb22443
dbp1563227,gdb1876
dbp37047259,gdb5271
dbp635947,gdb6996
dbp3336810,gdb3469
dbp30015488,gdb5424
dbp639569,gdb955
dbp4983775,gdb5762
dbp599658,gdb9260
dbp2188911,gdb23132
dbp31478902,gdb5601
dbp2201266,gdb6926
dbp15730863,gdb21050
dbp23918700,gdb2714
dbp2005389,gdb2629
dbp15723707,gdb17187
dbp25415094,gdb9357
dbp6737426,gdb8456
dbp34268738,gdb9470
dbp35016178,gdb9941
dbp13521161,gdb1679
dbp12653203,gdb2698
dbp26631452,gdb7969
dbp27463221,gdb4084
dbp22977901,gdb888
dbp11628542,gdb9400
dbp2383833,gdb4243
dbp10165571,gdb5034
dbp22366161,gdb9302
dbp22085222,gdb5386
dbp15324764,gdb6877
dbp1545347,gdb74
dbp10729136,gdb21856
dbp35576216,gdb9060
dbp2146774,gdb5390
dbp4427390,gdb9312
dbp15243871,gdb16079
dbp1189036,gdb5256
dbp1796504,gdb2660
dbp4917515,gdb659
dbp29721985,gdb9391
dbp6967906,gdb7030
dbp2052373,gdb4952
dbp11916407,gdb9609
dbp2146543,gdb5628
dbp30878004,gdb9126
dbp30020776,gdb9149
dbp28744675,gdb8492
dbp4640881,gdb7271
dbp3358511,gdb7409
dbp27871008,gdb4094
dbp2952297,gdb4906
dbp1149875,gdb8782
dbp3205715,gdb7445
dbp34299712,gdb8694
dbp11913995,gdb221
dbp25266,gdb777
dbp1353538,gdb4984
dbp22447397,gdb899
dbp1861796,gdb5933
dbp1932846,gdb9611
dbp10919507,gdb16804
dbp18856437,gdb820
dbp153420,gdb2644
dbp10905564,gdb9326
dbp2700150,gdb7557
dbp1194591,gdb13985
dbp2297054,gdb3107
dbp489000,gdb7228
dbp1738531,gdb565
dbp6560428,gdb8495
dbp12714240,gdb2086
dbp1055898,gdb9271
dbp6692120,gdb6967
dbp17530769,gdb19225
dbp19336475,gdb9021
dbp10106329,gdb12191
dbp5115470,gdb5392
dbp287165,gdb3996
dbp2395503,gdb597
dbp17818170,gdb9075
dbp1742661,gdb8988
dbp31645240,gdb8079
dbp3904889,gdb7589
dbp24773220,gdb3923
dbp1640471,gdb20005
dbp3029990,gdb3114
dbp3901888,gdb6184
dbp5220133,gdb6318
dbp1558456,gdb6907
dbp13526269,gdb1659
dbp739196,gdb9946
dbp2692728,gdb5832
dbp153418,gdb3455
dbp2041331,gdb3993
dbp1353717,gdb6702
dbp17386323,gdb3011
dbp25313098,gdb8091
dbp10891776,gdb648
dbp25815492,gdb9303
dbp20111312,gdb826
dbp6052050,gdb80
dbp4764199,gdb5896
dbp5595826,gdb8920
dbp1351932,gdb7327
dbp18655200,gdb9163
dbp14627782,gdb16707
dbp2698996,gdb8376
dbp1563401,gdb20485
dbp1459852,gdb1920
dbp31985739,gdb9610
dbp32867723,gdb9702
dbp1244227,gdb18172
dbp1110048,gdb697
dbp1167173,gdb23604
dbp1380605,gdb5457
dbp20759225,gdb5333
dbp12746003,gdb4328
dbp3823457,gdb9653
dbp471851,gdb7933
dbp2386640,gdb2857
dbp34424906,gdb8151
dbp10840850,gdb21994
dbp28677568,gdb9390
dbp30262451,gdb5642
dbp1982696,gdb8567
dbp22770888,gdb8438
dbp3087445,gdb7672
dbp12349135,gdb19544
dbp2146590,gdb599
dbp16602895,gdb4563
dbp16082726,gdb6224
dbp1716019,gdb2089
dbp10176505,gdb8557
dbp39175540,gdb4219
dbp23067407,gdb8562
dbp26569,gdb782
dbp5799501,gdb6007
dbp1058067,gdb16159
dbp16353748,gdb1823
dbp1580801,gdb5827
dbp22351854,gdb5487
dbp1202498,gdb17856
dbp6875300,gdb9752
dbp13144879,gdb5724
dbp30044868,gdb3735
dbp4211537,gdb705
dbp2688410,gdb7870
dbp21664907,gdb9102
dbp1564742,gdb1869
dbp2538578,gdb6729
dbp3513170,gdb5438
dbp4632983,gdb6308
dbp23101189,gdb8656
dbp10326790,gdb23492
dbp10368178,gdb8476
dbp2942317,gdb7963
dbp17431444,gdb2563
dbp12770127,gdb2604
dbp20777908,gdb337
dbp442510,gdb5493
dbp2237299,gdb9636
dbp2727773,gdb7296
dbp2146647,gdb9337
dbp3172085,gdb3290
dbp14602473,gdb4918
dbp1179733,gdb9954
dbp5268509,gdb8203
dbp2001434,gdb7348
dbp10945929,gdb16632
dbp1518609,gdb3342
dbp11838917,gdb19959
dbp4298006,gdb5946
dbp13602678,gdb5512
dbp21322797,gdb845
dbp13458092,gdb19392
dbp2146546,gdb783
dbp2711305,gdb502
dbp18746747,gdb23535
dbp10382326,gdb7944
dbp2242229,gdb6618
dbp1518690,gdb17775
dbp375858,gdb4025
dbp1788428,gdb259
dbp1543920,gdb9897
dbp1830189,gdb7000
dbp13848550,gdb6855
dbp34955125,gdb9675
dbp10106329,gdb1568
dbp25198689,gdb9302
dbp153421,gdb250
dbp11114988,gdb863
dbp4686343,gdb7082
dbp2322017,gdb7135
dbp23450893,gdb4220
dbp16188409,gdb18471
dbp12506113,gdb17423
dbp2919663,gdb6641
dbp418594,gdb6249
dbp5471006,gdb6949
dbp1332120,gdb2476
dbp16460026,gdb17243
dbp21142071,gdb7747
dbp33687153,gdb9368
dbp22793312,gdb9373
dbp402506,gdb5546
dbp10270173,gdb1494
dbp28833560,gdb6431
dbp2432396,gdb8550
dbp29942260,gdb3556
dbp20122958,gdb2505
dbp17928527,gdb8253
dbp33989393,gdb3871
dbp23179216,gdb2599
dbp1403733,gdb8951
dbp15268004,gdb16872
dbp22999271,gdb896
dbp167812,gdb771
dbp12892782,gdb18073
dbp2295738,gdb22978
dbp11582611,gdb6789
dbp25992553,gdb6648
dbp2202595,gdb4271
dbp4093456,gdb5889
dbp1466653,gdb20022
dbp1037570,gdb6688
dbp1173744,gdb237
dbp16350187,gdb9523
dbp1166867,gdb22375
dbp1251052,gdb5472
dbp2286911,gdb3402
dbp1310512,gdb7801
dbp5090608,gdb6822
dbp1696606,gdb991
dbp6913033,gdb7564
dbp1326466,gdb18370
dbp1044137,gdb6411
dbp1033399,gdb16545
dbp2208468,gdb3693
dbp2173746,gdb6926
dbp3568024,gdb5455
dbp12094151,gdb2708
dbp21320464,gdb9931
dbp11501120,gdb18933
dbp2356908,gdb4937
dbp4436947,gdb807
dbp2672951,gdb5417
dbp29523931,gdb7945
dbp7052501,gdb9783
dbp2757511,gdb7189
dbp31970892,gdb9110
dbp34783151,gdb9403
dbp19403259,gdb7955
dbp1547323,gdb3848
dbp17224120,gdb9237
dbp194471,gdb5848
dbp1965591,gdb3134
dbp2017664,gdb401
dbp1018704,gdb2539
dbp2055371,gdb2211
dbp477505,gdb9
dbp2004560,gdb5073
dbp5146497,gdb5294
dbp1909778,gdb55
dbp23452195,gdb3446
dbp4246339,gdb4927
dbp27880672,gdb3663
dbp14123779,gdb17196
dbp2116145,gdb7612
dbp4587982,gdb6304
dbp5028285,gdb645
dbp4041888,gdb7203
dbp4159055,gdb7727
dbp1364681,gdb6983
dbp1683046,gdb6846
dbp1073568,gdb2328
dbp3048744,gdb442
dbp11740250,gdb1985
dbp13154601,gdb6538
dbp2370273,gdb9801
dbp10984512,gdb11784
dbp5041462,gdb8159
dbp1915279,gdb23098
dbp11474170,gdb18759
dbp213505,gdb6250
dbp4620053,gdb7036
dbp10927178,gdb4183
dbp6451582,gdb9697
dbp10054001,gdb107
dbp3413059,gdb6978
dbp29487649,gdb7180
dbp19569531,gdb2016
dbp1337922,gdb8068
dbp18360025,gdb9424
dbp22346004,gdb554
dbp10275880,gdb7719
dbp17974780,gdb6796
dbp36800750,gdb7894
dbp1725488,gdb8354
dbp11974690,gdb5503
dbp2152484,gdb22699
dbp2535705,gdb5936
dbp2354739,gdb239
dbp15035151,gdb15125
dbp2505163,gdb6319
dbp1913170,gdb220
dbp305596,gdb9041
dbp1047196,gdb1824
dbp15132605,gdb2238
dbp10926177,gdb8239
dbp21721098,gdb4231
dbp15769647,gdb9316
dbp2545935,gdb5290
dbp1408687,gdb17382
dbp2146683,gdb2567
dbp32582672,gdb5502
dbp106289,gdb3416
dbp2848636,gdb4806
dbp2848636,gdb4807
dbp2848636,gdb4808
dbp2079407,gdb22669
dbp1694025,gdb7269
dbp12291107,gdb12380
dbp30096917,gdb3481
dbp5624366,gdb8430
dbp1539274,gdb6666
dbp29569199,gdb3638
dbp1561616,gdb19894
dbp13011809,gdb5878
dbp2055888,gdb3108
dbp24925755,gdb4717
dbp1143910,gdb7059
dbp19577205,gdb21162
dbp288354,gdb787
dbp5097455,gdb6866
dbp12187248,gdb4283
dbp1396115,gdb2258
dbp3896296,gdb4854
dbp32026325,gdb3765
dbp15321385,gdb22139
dbp10772117,gdb11437
dbp15808558,gdb17709
dbp2918560,gdb6006
dbp732107,gdb9868
dbp5800472,gdb7083
dbp25412420,gdb7199
dbp5082443,gdb6610
dbp4989247,gdb6313
dbp1549210,gdb18876
dbp765766,gdb786
dbp2344034,gdb3278
dbp11825742,gdb4101
dbp11600698,gdb19013
dbp4232494,gdb9789
dbp10166889,gdb20349
dbp5300220,gdb878
dbp6095080,gdb665
dbp7899105,gdb806
dbp1109483,gdb2522
dbp13192136,gdb2594
dbp26163147,gdb5607
dbp17718225,gdb1957
dbp15521709,gdb9213
dbp24509720,gdb9879
dbp12400390,gdb19388
dbp31390903,gdb8295
dbp12776876,gdb1897
dbp22361379,gdb7182
dbp31605199,gdb6301
dbp7292449,gdb7706
dbp16588819,gdb4653
dbp22071760,gdb6332
dbp13068740,gdb2598
dbp2053053,gdb217
dbp14961774,gdb18617
dbp12212497,gdb18118
dbp18553968,gdb3077
dbp17771420,gdb22159
dbp12524283,gdb5779
dbp1820099,gdb244
dbp1215417,gdb14936
dbp4121615,gdb596
dbp1313021,gdb18308
dbp1954092,gdb8591
dbp29073693,gdb8837
dbp22791695,gdb4073
