dbp4699157,gbmb16123
dbp1663197,gbmb2139
dbp1207920,gbmb16228
dbp2545814,gbmb22102
dbp17444540,gbmb24075
dbp22725967,gbmb26376
dbp2145644,gbmb21772
dbp21469942,gbmb25263
dbp20591392,gbmb15793
dbp2916621,gbmb9966
dbp794013,gbmb25761
dbp1422170,gbmb4410
dbp2146990,gbmb1570
dbp19767689,gbmb5351
dbp3132342,gbmb21257
dbp18803145,gbmb15547
dbp1183212,gbmb16604
dbp12847059,gbmb13118
dbp1159576,gbmb12824
dbp4159055,gbmb22203
dbp1653788,gbmb14919
dbp1472611,gbmb6467
dbp27163643,gbmb12165
dbp15479709,gbmb3807
dbp6150321,gbmb11100
dbp1159595,gbmb2694
dbp2374644,gbmb21622
dbp3964856,gbmb1407
dbp9953310,gbmb14706
dbp4245563,gbmb13920
dbp1232986,gbmb16547
dbp5120083,gbmb8832
dbp25412420,gbmb2798
dbp442549,gbmb3699
dbp24052355,gbmb25247
dbp1839324,gbmb7947
dbp1241000,gbmb21183
dbp35228872,gbmb5834
dbp1816632,gbmb1565
dbp5955537,gbmb10258
dbp25377334,gbmb29539
dbp7976310,gbmb20856
dbp442510,gbmb4300
dbp6231686,gbmb8352
dbp8233918,gbmb10702
dbp7080815,gbmb20818
dbp16271137,gbmb21400
dbp442508,gbmb16145
dbp430549,gbmb8721
dbp6065111,gbmb8802
dbp10473598,gbmb5161
dbp10322,gbmb10796
dbp29667489,gbmb2651
dbp8484017,gbmb11083
dbp7893589,gbmb6580
dbp6067827,gbmb23331
dbp8983920,gbmb1826
dbp2149333,gbmb9936
dbp4354969,gbmb8638
dbp2725809,gbmb6672
dbp18781202,gbmb23436
dbp25281174,gbmb14524
dbp14182154,gbmb4276
dbp5459591,gbmb12482
dbp393009,gbmb5811
dbp24003456,gbmb8092
dbp17674741,gbmb26184
dbp3144438,gbmb3354
dbp2507620,gbmb2180
dbp3804187,gbmb2466
dbp5012290,gbmb1709
dbp319145,gbmb15117
dbp23713872,gbmb25422
dbp11847908,gbmb9164
dbp36721702,gbmb11504
dbp345400,gbmb12149
dbp1508961,gbmb12710
dbp3624315,gbmb29972
dbp2690649,gbmb8887
dbp3444315,gbmb21785
dbp20104099,gbmb21847
dbp3078907,gbmb23399
dbp18369371,gbmb22347
dbp16138367,gbmb4459
dbp24672005,gbmb27769
dbp1472525,gbmb22950
dbp4041632,gbmb6909
dbp4843795,gbmb5035
dbp21802080,gbmb25513
dbp2505163,gbmb10095
dbp6216122,gbmb5337
dbp35000778,gbmb29278
dbp9138038,gbmb7928
dbp80917,gbmb21174
dbp2110825,gbmb2861
dbp5629700,gbmb8595
dbp7079928,gbmb2354
dbp2977349,gbmb3198
dbp9850693,gbmb14860
dbp5522895,gbmb6515
dbp4855831,gbmb16237
dbp23063959,gbmb26729
dbp2035000,gbmb1013
dbp2472583,gbmb22602
dbp5075444,gbmb22802
dbp4366599,gbmb1745
dbp2735475,gbmb12960
dbp11466765,gbmb6106
dbp4197606,gbmb1274
dbp2954629,gbmb9471
dbp33980404,gbmb22748
dbp15247387,gbmb2533
dbp418594,gbmb15672
dbp1838125,gbmb8224
dbp5930588,gbmb22045
dbp4186917,gbmb10414
dbp5205164,gbmb14148
dbp3251075,gbmb7416
dbp7039064,gbmb1094
dbp6555696,gbmb25049
dbp15684835,gbmb23823
dbp17612463,gbmb20819
dbp6895970,gbmb6828
dbp32426738,gbmb13896
dbp3735744,gbmb16717
dbp11954746,gbmb25485
dbp2336227,gbmb2570
dbp17637756,gbmb12664
dbp3771333,gbmb7615
dbp1050479,gbmb1636
dbp2411667,gbmb3391
dbp15318145,gbmb5500
dbp1569860,gbmb4798
dbp5281829,gbmb12177
dbp9211169,gbmb20876
dbp1353717,gbmb11321
dbp4111455,gbmb2127
dbp10920716,gbmb10660
dbp5678626,gbmb22201
dbp6504079,gbmb4298
dbp22107031,gbmb20722
dbp5678618,gbmb21693
dbp16683807,gbmb13611
dbp5461796,gbmb24704
dbp2953400,gbmb4996
dbp4903932,gbmb23132
dbp1642928,gbmb1424
dbp980517,gbmb6068
dbp3214070,gbmb7164
dbp22641614,gbmb13248
dbp10653382,gbmb29072
dbp24186640,gbmb2255
dbp12333999,gbmb1426
dbp24159011,gbmb14238
dbp4279132,gbmb4194
dbp4279133,gbmb10652
dbp4208818,gbmb15099
dbp24708133,gbmb29051
dbp12235779,gbmb20899
dbp25474440,gbmb27681
dbp166791,gbmb10087
dbp4912026,gbmb28663
dbp549163,gbmb11105
dbp29571703,gbmb28798
dbp8413646,gbmb2930
dbp25572811,gbmb23315
dbp20108998,gbmb1920
dbp6362255,gbmb10302
dbp3866321,gbmb12962
dbp252922,gbmb2163
dbp1448540,gbmb14366
dbp3868965,gbmb12360
dbp23000489,gbmb26635
dbp22461726,gbmb25733
dbp252988,gbmb7438
dbp5401400,gbmb22355
dbp4818955,gbmb13997
dbp489000,gbmb8556
dbp23746049,gbmb26422
dbp17601604,gbmb21140
dbp20470587,gbmb23532
dbp6690962,gbmb8703
dbp7306733,gbmb11674
dbp4689020,gbmb24103
dbp5798402,gbmb2970
dbp2555571,gbmb2201
dbp35758177,gbmb26351
dbp1640271,gbmb7506
dbp17530769,gbmb20773
dbp5518014,gbmb16430
dbp19369663,gbmb9476
dbp38340954,gbmb1939
dbp22804895,gbmb27295
dbp1717037,gbmb1744
dbp6205567,gbmb6355
dbp2991707,gbmb15644
dbp4632983,gbmb2166
dbp3187538,gbmb24893
dbp6300118,gbmb12092
dbp7975219,gbmb2621
dbp920743,gbmb5819
dbp20023621,gbmb24362
dbp3251155,gbmb2896
dbp1302281,gbmb10717
dbp12465881,gbmb27489
dbp38706720,gbmb7968
dbp4902816,gbmb2840
dbp7464628,gbmb8555
dbp41194299,gbmb21415
dbp1583955,gbmb9316
dbp920767,gbmb23185
dbp12911902,gbmb6403
dbp5098259,gbmb20851
dbp2277217,gbmb6278
dbp33937892,gbmb15973
dbp2277216,gbmb13609
dbp4545242,gbmb1428
dbp69179,gbmb1446
dbp1531116,gbmb14785
dbp1937821,gbmb2497
dbp5471006,gbmb14697
dbp8231054,gbmb14192
dbp2458411,gbmb9003
dbp16048692,gbmb11202
dbp25065898,gbmb29533
dbp11200542,gbmb9255
dbp11200543,gbmb7225
dbp8764758,gbmb7939
dbp10920831,gbmb15255
dbp21804414,gbmb24816
dbp18553968,gbmb5623
dbp18141355,gbmb20933
dbp1051629,gbmb15961
dbp1315608,gbmb12544
dbp8231014,gbmb24327
dbp4912185,gbmb22205
dbp1707772,gbmb16741
dbp8653011,gbmb17034
dbp588619,gbmb7136
dbp2917810,gbmb3898
dbp4912140,gbmb2188
dbp6518539,gbmb25254
dbp18696364,gbmb27220
dbp6699239,gbmb16905
dbp2903227,gbmb9160
dbp6205619,gbmb24701
dbp27747865,gbmb10262
dbp2184080,gbmb1357
dbp33944958,gbmb21477
dbp7138195,gbmb26074
dbp923288,gbmb2115
dbp27470350,gbmb29715
dbp2004560,gbmb12599
dbp10166889,gbmb22469
dbp581020,gbmb2405
dbp2295843,gbmb1751
dbp7175152,gbmb4284
dbp27457377,gbmb29172
dbp706209,gbmb9441
dbp6217672,gbmb5345
dbp5445505,gbmb23177
dbp7236601,gbmb20955
dbp14480343,gbmb11447
dbp9051432,gbmb10768
dbp2990105,gbmb8009
dbp2487828,gbmb8806
dbp11219773,gbmb3180
dbp22150812,gbmb25134
dbp3474371,gbmb10394
dbp35896442,gbmb10172
dbp6866397,gbmb15557
dbp2208574,gbmb14068
dbp5311060,gbmb3675
dbp5675875,gbmb21550
dbp3022207,gbmb2324
dbp29191936,gbmb3409
dbp22996413,gbmb26656
dbp10286698,gbmb6134
dbp984290,gbmb16848
dbp7005088,gbmb11254
dbp3233403,gbmb23196
dbp7068605,gbmb12611
dbp4917140,gbmb10105
dbp6676917,gbmb11500
dbp24808141,gbmb9675
dbp1563159,gbmb15069
dbp2366669,gbmb11315
dbp1863248,gbmb7222
dbp4483900,gbmb12483
dbp3680792,gbmb5037
dbp23150608,gbmb27206
dbp1268445,gbmb21821
dbp23871551,gbmb9415
dbp4660100,gbmb8423
dbp23149600,gbmb25721
dbp28586827,gbmb29550
dbp10345540,gbmb1027
dbp3186540,gbmb13548
dbp2342631,gbmb12487
dbp1268487,gbmb6222
dbp3047463,gbmb1773
dbp13700316,gbmb12367
dbp355907,gbmb5708
dbp6205758,gbmb15897
dbp11610617,gbmb6932
dbp876353,gbmb12188
dbp8633507,gbmb10740
dbp1973847,gbmb5326
dbp30864749,gbmb9843
dbp8587859,gbmb11980
dbp34944881,gbmb23711
dbp2462626,gbmb6107
dbp1887268,gbmb23901
dbp5964911,gbmb7089
dbp19478967,gbmb1441
dbp3413479,gbmb8250
dbp19014712,gbmb28444
dbp679791,gbmb3712
dbp3342449,gbmb7908
dbp18463246,gbmb26082
dbp1521610,gbmb2308
dbp14385771,gbmb27102
dbp3811893,gbmb9752
dbp4155209,gbmb21933
dbp11495977,gbmb24609
dbp2990211,gbmb11861
dbp10368178,gbmb13762
dbp13328434,gbmb22892
dbp22815745,gbmb11608
dbp1983042,gbmb7498
dbp1932355,gbmb24167
dbp3596751,gbmb4921
dbp4276268,gbmb26737
dbp3787693,gbmb6163
dbp3303027,gbmb2397
dbp2160191,gbmb11473
dbp5072270,gbmb2544
dbp11313061,gbmb10773
dbp16288423,gbmb6202
dbp31865847,gbmb9816
dbp11376465,gbmb29980
dbp1387059,gbmb11438
dbp1327381,gbmb6707
dbp3799631,gbmb3533
dbp7006460,gbmb7999
dbp3048744,gbmb28218
dbp7511349,gbmb21413
dbp29237888,gbmb28518
dbp24340086,gbmb27657
dbp2929557,gbmb13385
dbp23414787,gbmb25119
dbp24194826,gbmb8458
dbp7753441,gbmb1652
dbp19403259,gbmb28810
dbp3010144,gbmb14337
dbp19981037,gbmb22692
dbp149593,gbmb6424
dbp5001937,gbmb12884
dbp29152174,gbmb29490
dbp25120453,gbmb28004
dbp219325,gbmb11734
dbp2208468,gbmb13705
dbp246953,gbmb5961
dbp6312361,gbmb5137
dbp2472055,gbmb2998
dbp5277400,gbmb13484
dbp25058194,gbmb25437
dbp7368330,gbmb11349
dbp29139182,gbmb14958
dbp32888601,gbmb22214
dbp2413731,gbmb6913
dbp24667588,gbmb29374
dbp18655200,gbmb21350
dbp3463652,gbmb28840
dbp5720051,gbmb3537
dbp9050090,gbmb14402
dbp27044718,gbmb29827
dbp27577162,gbmb12608
dbp3209882,gbmb5804
dbp6640826,gbmb13326
dbp1460180,gbmb1044
dbp1065654,gbmb1113
dbp3896689,gbmb8572
dbp535949,gbmb5608
dbp1014007,gbmb10488
dbp4636314,gbmb15785
dbp15815435,gbmb21642
dbp2123141,gbmb5441
dbp3159073,gbmb16773
dbp2318891,gbmb11240
dbp17028381,gbmb28779
dbp2342507,gbmb25678
dbp24642233,gbmb10291
dbp11449994,gbmb10568
dbp18091223,gbmb26467
dbp2270483,gbmb1865
dbp630354,gbmb2059
dbp3736048,gbmb21659
dbp1341689,gbmb15864
dbp2835709,gbmb5753
dbp20177414,gbmb27099
dbp7308592,gbmb1234
dbp17216673,gbmb22981
dbp2474729,gbmb27390
dbp21527716,gbmb26790
dbp14106327,gbmb26367
dbp1756910,gbmb12964
dbp5311290,gbmb22821
dbp29752115,gbmb26740
dbp2294417,gbmb9704
dbp2534816,gbmb6498
dbp5939816,gbmb21265
dbp1462714,gbmb3674
dbp41275538,gbmb5105
dbp1207618,gbmb13217
dbp2424463,gbmb8125
dbp18164620,gbmb13614
dbp14539401,gbmb15927
dbp17546122,gbmb6050
dbp19863980,gbmb3912
dbp23711061,gbmb27388
dbp7442769,gbmb7582
dbp12746003,gbmb22046
dbp26120110,gbmb29992
dbp10946845,gbmb5486
dbp25106436,gbmb29719
dbp1425533,gbmb11472
dbp6938373,gbmb10072
dbp3569458,gbmb13078
dbp8492898,gbmb10203
dbp28226416,gbmb16118
dbp13377746,gbmb27497
dbp6068551,gbmb12494
dbp4107784,gbmb6195
dbp2966243,gbmb11193
dbp1581045,gbmb3721
dbp19076840,gbmb5106
dbp10369797,gbmb8694
dbp22123430,gbmb24307
dbp34320862,gbmb8222
dbp4336342,gbmb16959
dbp9815774,gbmb23754
dbp19695722,gbmb23661
dbp4758627,gbmb9394
dbp25905316,gbmb10367
dbp3207293,gbmb15809
dbp17014402,gbmb22888
dbp36049438,gbmb16211
dbp10840850,gbmb5033
dbp3703704,gbmb15213
dbp2090330,gbmb2006
dbp5686748,gbmb10505
dbp10054001,gbmb16624
dbp3000670,gbmb15505
dbp18321790,gbmb20740
dbp1545385,gbmb9038
dbp11838865,gbmb7509
dbp6151085,gbmb16413
dbp1934406,gbmb2278
dbp17720319,gbmb20954
dbp30865892,gbmb5175
dbp8656492,gbmb25329
dbp18946810,gbmb23460
dbp1088639,gbmb14255
dbp3703610,gbmb1992
dbp948810,gbmb1209
dbp12314381,gbmb8376
dbp5313512,gbmb21988
dbp3447026,gbmb16004
dbp25884811,gbmb29744
dbp5313500,gbmb25175
dbp5536386,gbmb27870
dbp25264537,gbmb27218
dbp26086909,gbmb5058
dbp2391429,gbmb1483
dbp10176505,gbmb1819
dbp294312,gbmb5242
dbp16482817,gbmb10497
dbp5949544,gbmb12771
dbp5840120,gbmb10163
dbp2355724,gbmb16955
dbp1110158,gbmb15647
dbp5926882,gbmb13107
dbp3740635,gbmb10822
dbp15902874,gbmb21340
dbp5228649,gbmb11471
dbp3111208,gbmb2959
dbp18860348,gbmb23620
dbp18860345,gbmb23396
dbp3342688,gbmb11863
dbp27408542,gbmb14030
dbp17380293,gbmb1747
dbp20116156,gbmb25912
dbp24497353,gbmb24417
dbp2294325,gbmb4036
dbp36576004,gbmb26490
dbp5650892,gbmb20906
dbp21394399,gbmb22239
dbp2382291,gbmb21710
dbp17817893,gbmb13379
dbp100464,gbmb14425
dbp24402806,gbmb22286
dbp4269341,gbmb29620
dbp5697522,gbmb23771
dbp1424312,gbmb1975
dbp6079157,gbmb15963
dbp20358425,gbmb24395
dbp4073991,gbmb8896
dbp58990,gbmb16233
dbp18298754,gbmb21110
dbp1655773,gbmb9450
dbp756812,gbmb11696
dbp10851465,gbmb27995
dbp70653,gbmb5429
dbp26119200,gbmb27210
dbp5976926,gbmb9123
dbp23928245,gbmb6266
dbp15131006,gbmb20950
dbp3823457,gbmb12832
dbp19403491,gbmb23747
dbp17356662,gbmb11898
dbp5168274,gbmb29644
dbp2318758,gbmb6735
dbp2942317,gbmb1129
dbp7890243,gbmb6628
dbp7890242,gbmb13819
dbp23507414,gbmb23136
dbp7890238,gbmb13751
dbp27939762,gbmb27310
dbp14265864,gbmb10557
dbp7067676,gbmb8994
dbp16602895,gbmb2881
dbp742259,gbmb14556
dbp2929354,gbmb6710
dbp1171033,gbmb6390
dbp9137891,gbmb1371
dbp7291801,gbmb26368
dbp6878272,gbmb12573
dbp7890270,gbmb6790
dbp9382711,gbmb12533
dbp4649451,gbmb11572
dbp1973906,gbmb14117
dbp24450575,gbmb22098
dbp33327117,gbmb9590
dbp7573319,gbmb14669
dbp1559962,gbmb8786
dbp1137904,gbmb10093
dbp3245694,gbmb1375
dbp2820098,gbmb9909
dbp4845356,gbmb9382
dbp1936981,gbmb4423
dbp440994,gbmb8284
dbp5278587,gbmb8345
dbp4107691,gbmb4228
dbp24304560,gbmb21868
dbp24861894,gbmb26616
dbp5843971,gbmb11126
dbp1137963,gbmb3841
dbp17622966,gbmb21632
dbp6987262,gbmb21626
dbp20885022,gbmb21061
dbp22836033,gbmb5826
dbp3101963,gbmb3681
dbp30865720,gbmb3353
dbp5230600,gbmb9922
dbp1339146,gbmb1581
dbp10248599,gbmb23001
dbp8225692,gbmb4464
dbp23219079,gbmb6353
dbp1690022,gbmb11571
dbp2368926,gbmb10536
dbp25804003,gbmb29485
dbp4228758,gbmb15559
dbp2114841,gbmb22224
dbp19910571,gbmb1364
dbp6299091,gbmb12060
dbp12015310,gbmb22354
dbp6204766,gbmb2054
dbp6216732,gbmb26585
dbp6214184,gbmb22760
dbp6756339,gbmb27758
dbp6492136,gbmb5534
dbp11825742,gbmb25862
dbp24171880,gbmb9274
dbp24628569,gbmb13422
dbp4758473,gbmb10588
dbp31430753,gbmb2221
dbp4470291,gbmb12266
dbp1569190,gbmb9219
dbp2254018,gbmb14899
dbp2039642,gbmb12628
dbp16528939,gbmb25128
dbp6578939,gbmb4729
